paddock,paddock_name,paddock_area,Cover,equation_multiplier_a,equation_constant_b,residual_constant,residual_cover,total
74,Paddock 74,1,0,140,500,1500,0,0
75,Paddock 75,1,0,140,500,1500,0,0
76,Paddock 76,1,0,140,500,1500,0,0
77,Paddock 77,1,0,140,500,1500,0,0
78,Paddock 78,1,0,140,500,1500,0,0
79,Paddock 79,1,0,140,500,1500,0,0
80,Paddock 80,1,0,140,500,1500,0,0
81,Paddock 81,1,0,140,500,1500,0,0
82,Paddock 82,1,0,140,500,1500,0,0
83,Paddock 83,1,0,140,500,1500,0,0
84,Paddock 84,1,0,140,500,1500,0,0
85,Paddock 85,1,0,140,500,1500,0,0
86,Paddock 86,1,0,140,500,1500,0,0
87,Paddock 87,1,0,140,500,1500,0,0
88,Paddock 88,1,0,140,500,1500,0,0
89,Paddock 89,1,0,140,500,1500,0,0
90,Paddock 90,1,0,140,500,1500,0,0
91,Paddock 91,1,0,140,500,1500,0,0
92,Paddock 92,1,0,140,500,1500,0,0
93,Paddock 93,1,0,140,500,1500,0,0
94,Paddock 94,1,0,140,500,1500,0,0
95,Paddock 95,1,0,140,500,1500,0,0
96,Paddock 96,1,0,140,500,1500,0,0
97,Paddock 97,1,0,140,500,1500,0,0
98,Paddock 98,1,0,140,500,1500,0,0
99,Paddock 99,1,0,140,500,1500,0,0
100,Paddock 100,1,0,140,500,1500,0,0
101,Paddock 101,1,0,140,500,1500,0,
102,Paddock 102,1,0,140,500,1500,0,
103,Paddock 103,1,0,140,500,1500,0,
104,Paddock 104,1,0,140,500,1500,0,
105,Paddock 105,1,0,140,500,1500,0,
106,Paddock 106,1,0,140,500,1500,0,
107,Paddock 107,1,0,140,500,1500,0,
108,Paddock 108,1,0,140,500,1500,0,
109,Paddock 109,1,0,140,500,1500,0,
110,Paddock 110,1,0,140,500,1500,0,
111,Paddock 111,1,0,140,500,1500,0,
112,Paddock 112,1,0,140,500,1500,0,
113,Paddock 113,1,0,140,500,1500,0,
114,Paddock 114,1,0,140,500,1500,0,
115,Paddock 115,1,0,140,500,1500,0,
116,Paddock 116,1,0,140,500,1500,0,
117,Paddock 117,1,0,140,500,1500,0,
118,Paddock 118,1,0,140,500,1500,0,
119,Paddock 119,1,0,140,500,1500,0,
120,Paddock 120,1,0,140,500,1500,0,
121,Paddock 121,1,0,140,500,1500,0,
122,Paddock 122,1,0,140,500,1500,0,
123,Paddock 123,1,0,140,500,1500,0,
124,Paddock 124,1,0,140,500,1500,0,
125,Paddock 125,1,0,140,500,1500,0,
126,Paddock 126,1,0,140,500,1500,0,
127,Paddock 127,1,0,140,500,1500,0,
128,Paddock 128,1,0,140,500,1500,0,
129,Paddock 129,1,0,140,500,1500,0,
130,Paddock 130,1,0,140,500,1500,0,
131,Paddock 131,1,0,140,500,1500,0,
132,Paddock 132,1,0,140,500,1500,0,
133,Paddock 133,1,0,140,500,1500,0,
134,Paddock 134,1,0,140,500,1500,0,
135,Paddock 135,1,0,140,500,1500,0,
136,Paddock 136,1,0,140,500,1500,0,
137,Paddock 137,1,0,140,500,1500,0,
138,Paddock 138,1,0,140,500,1500,0,
139,Paddock 139,1,0,140,500,1500,0,
140,Paddock 140,1,0,140,500,1500,0,
141,Paddock 141,1,0,140,500,1500,0,
142,Paddock 142,1,0,140,500,1500,0,
143,Paddock 143,1,0,140,500,1500,0,
144,Paddock 144,1,0,140,500,1500,0,
145,Paddock 145,1,0,140,500,1500,0,
146,Paddock 146,1,0,140,500,1500,0,
147,Paddock 147,1,0,140,500,1500,0,
148,Paddock 148,1,0,140,500,1500,0,
149,Paddock 149,1,0,140,500,1500,0,
150,Paddock 150,1,0,140,500,1500,0,
151,Paddock 151,1,0,140,500,1500,0,
152,Paddock 152,1,0,140,500,1500,0,
153,Paddock 153,1,0,140,500,1500,0,
154,Paddock 154,1,0,140,500,1500,0,
155,Paddock 155,1,0,140,500,1500,0,
156,Paddock 156,1,0,140,500,1500,0,
157,Paddock 157,1,0,140,500,1500,0,
158,Paddock 158,1,0,140,500,1500,0,
159,Paddock 159,1,0,140,500,1500,0,
160,Paddock 160,1,0,140,500,1500,0,
161,Paddock 161,1,0,140,500,1500,0,
162,Paddock 162,1,0,140,500,1500,0,
163,Paddock 163,1,0,140,500,1500,0,
164,Paddock 164,1,0,140,500,1500,0,
165,Paddock 165,1,0,140,500,1500,0,
166,Paddock 166,1,0,140,500,1500,0,
167,Paddock 167,1,0,140,500,1500,0,
168,Paddock 168,1,0,140,500,1500,0,
169,Paddock 169,1,0,140,500,1500,0,
170,Paddock 170,1,0,140,500,1500,0,
171,Paddock 171,1,0,140,500,1500,0,
172,Paddock 172,1,0,140,500,1500,0,
173,Paddock 173,1,0,140,500,1500,0,
174,Paddock 174,1,0,140,500,1500,0,
175,Paddock 175,1,0,140,500,1500,0,
176,Paddock 176,1,0,140,500,1500,0,
177,Paddock 177,1,0,140,500,1500,0,
178,Paddock 178,1,0,140,500,1500,0,
179,Paddock 179,1,0,140,500,1500,0,
180,Paddock 180,1,0,140,500,1500,0,
181,Paddock 181,1,0,140,500,1500,0,
182,Paddock 182,1,0,140,500,1500,0,
183,Paddock 183,1,0,140,500,1500,0,
184,Paddock 184,1,0,140,500,1500,0,
185,Paddock 185,1,0,140,500,1500,0,
186,Paddock 186,1,0,140,500,1500,0,
187,Paddock 187,1,0,140,500,1500,0,
188,Paddock 188,1,0,140,500,1500,0,
189,Paddock 189,1,0,140,500,1500,0,
190,Paddock 190,1,0,140,500,1500,0,
191,Paddock 191,1,0,140,500,1500,0,
192,Paddock 192,1,0,140,500,1500,0,
193,Paddock 193,1,0,140,500,1500,0,
194,Paddock 194,1,0,140,500,1500,0,
195,Paddock 195,1,0,140,500,1500,0,
196,Paddock 196,1,0,140,500,1500,0,
197,Paddock 197,1,0,140,500,1500,0,
198,Paddock 198,1,0,140,500,1500,0,
199,Paddock 199,1,0,140,500,1500,0,
200,Paddock 200,1,0,140,500,1500,0,
201,Paddock 201,1,0,140,500,1500,0,
202,Paddock 202,1,0,140,500,1500,0,
203,Paddock 203,1,0,140,500,1500,0,
204,Paddock 204,1,0,140,500,1500,0,
205,Paddock 205,1,0,140,500,1500,0,
206,Paddock 206,1,0,140,500,1500,0,
207,Paddock 207,1,0,140,500,1500,0,
208,Paddock 208,1,0,140,500,1500,0,
209,Paddock 209,1,0,140,500,1500,0,
210,Paddock 210,1,0,140,500,1500,0,
211,Paddock 211,1,0,140,500,1500,0,
212,Paddock 212,1,0,140,500,1500,0,
213,Paddock 213,1,0,140,500,1500,0,
214,Paddock 214,1,0,140,500,1500,0,
215,Paddock 215,1,0,140,500,1500,0,
216,Paddock 216,1,0,140,500,1500,0,
217,Paddock 217,1,0,140,500,1500,0,
218,Paddock 218,1,0,140,500,1500,0,
219,Paddock 219,1,0,140,500,1500,0,
220,Paddock 220,1,0,140,500,1500,0,
221,Paddock 221,1,0,140,500,1500,0,
222,Paddock 222,1,0,140,500,1500,0,
223,Paddock 223,1,0,140,500,1500,0,
224,Paddock 224,1,0,140,500,1500,0,
225,Paddock 225,1,0,140,500,1500,0,
226,Paddock 226,1,0,140,500,1500,0,
227,Paddock 227,1,0,140,500,1500,0,
228,Paddock 228,1,0,140,500,1500,0,
229,Paddock 229,1,0,140,500,1500,0,
230,Paddock 230,1,0,140,500,1500,0,
231,Paddock 231,1,0,140,500,1500,0,
232,Paddock 232,1,0,140,500,1500,0,
233,Paddock 233,1,0,140,500,1500,0,
234,Paddock 234,1,0,140,500,1500,0,
235,Paddock 235,1,0,140,500,1500,0,
236,Paddock 236,1,0,140,500,1500,0,
237,Paddock 237,1,0,140,500,1500,0,
238,Paddock 238,1,0,140,500,1500,0,
239,Paddock 239,1,0,140,500,1500,0,
240,Paddock 240,1,0,140,500,1500,0,
241,Paddock 241,1,0,140,500,1500,0,
242,Paddock 242,1,0,140,500,1500,0,
243,Paddock 243,1,0,140,500,1500,0,
244,Paddock 244,1,0,140,500,1500,0,
245,Paddock 245,1,0,140,500,1500,0,
246,Paddock 246,1,0,140,500,1500,0,
247,Paddock 247,1,0,140,500,1500,0,
248,Paddock 248,1,0,140,500,1500,0,
249,Paddock 249,1,0,140,500,1500,0,
250,Paddock 250,1,0,140,500,1500,0,
251,Paddock 251,1,0,140,500,1500,0,
252,Paddock 252,1,0,140,500,1500,0,
253,Paddock 253,1,0,140,500,1500,0,
254,Paddock 254,1,0,140,500,1500,0,
255,Paddock 255,1,0,140,500,1500,0,
256,Paddock 256,1,0,140,500,1500,0,
257,Paddock 257,1,0,140,500,1500,0,
258,Paddock 258,1,0,140,500,1500,0,
259,Paddock 259,1,0,140,500,1500,0,
260,Paddock 260,1,0,140,500,1500,0,
261,Paddock 261,1,0,140,500,1500,0,
262,Paddock 262,1,0,140,500,1500,0,
263,Paddock 263,1,0,140,500,1500,0,
264,Paddock 264,1,0,140,500,1500,0,
265,Paddock 265,1,0,140,500,1500,0,
266,Paddock 266,1,0,140,500,1500,0,
267,Paddock 267,1,0,140,500,1500,0,
268,Paddock 268,1,0,140,500,1500,0,
269,Paddock 269,1,0,140,500,1500,0,
270,Paddock 270,1,0,140,500,1500,0,
271,Paddock 271,1,0,140,500,1500,0,
272,Paddock 272,1,0,140,500,1500,0,
273,Paddock 273,1,0,140,500,1500,0,
274,Paddock 274,1,0,140,500,1500,0,
275,Paddock 275,1,0,140,500,1500,0,
276,Paddock 276,1,0,140,500,1500,0,
277,Paddock 277,1,0,140,500,1500,0,
278,Paddock 278,1,0,140,500,1500,0,
279,Paddock 279,1,0,140,500,1500,0,
280,Paddock 280,1,0,140,500,1500,0,
281,Paddock 281,1,0,140,500,1500,0,
282,Paddock 282,1,0,140,500,1500,0,
283,Paddock 283,1,0,140,500,1500,0,
284,Paddock 284,1,0,140,500,1500,0,
285,Paddock 285,1,0,140,500,1500,0,
286,Paddock 286,1,0,140,500,1500,0,
287,Paddock 287,1,0,140,500,1500,0,
288,Paddock 288,1,0,140,500,1500,0,
289,Paddock 289,1,0,140,500,1500,0,
290,Paddock 290,1,0,140,500,1500,0,
291,Paddock 291,1,0,140,500,1500,0,
292,Paddock 292,1,0,140,500,1500,0,
293,Paddock 293,1,0,140,500,1500,0,
294,Paddock 294,1,0,140,500,1500,0,
295,Paddock 295,1,0,140,500,1500,0,
296,Paddock 296,1,0,140,500,1500,0,
297,Paddock 297,1,0,140,500,1500,0,
298,Paddock 298,1,0,140,500,1500,0,
299,Paddock 299,1,0,140,500,1500,0,
300,Paddock 300,1,0,140,500,1500,0,
301,Paddock 301,1,0,140,500,1500,0,
302,Paddock 302,1,0,140,500,1500,0,
303,Paddock 303,1,0,140,500,1500,0,
304,Paddock 304,1,0,140,500,1500,0,
305,Paddock 305,1,0,140,500,1500,0,
306,Paddock 306,1,0,140,500,1500,0,
307,Paddock 307,1,0,140,500,1500,0,
308,Paddock 308,1,0,140,500,1500,0,
309,Paddock 309,1,0,140,500,1500,0,
310,Paddock 310,1,0,140,500,1500,0,
311,Paddock 311,1,0,140,500,1500,0,
312,Paddock 312,1,0,140,500,1500,0,
313,Paddock 313,1,0,140,500,1500,0,
314,Paddock 314,1,0,140,500,1500,0,
315,Paddock 315,1,0,140,500,1500,0,
316,Paddock 316,1,0,140,500,1500,0,
317,Paddock 317,1,0,140,500,1500,0,
318,Paddock 318,1,0,140,500,1500,0,
319,Paddock 319,1,0,140,500,1500,0,
320,Paddock 320,1,0,140,500,1500,0,
321,Paddock 321,1,0,140,500,1500,0,
322,Paddock 322,1,0,140,500,1500,0,
323,Paddock 323,1,0,140,500,1500,0,
324,Paddock 324,1,0,140,500,1500,0,
325,Paddock 325,1,0,140,500,1500,0,
326,Paddock 326,1,0,140,500,1500,0,
327,Paddock 327,1,0,140,500,1500,0,
328,Paddock 328,1,0,140,500,1500,0,
329,Paddock 329,1,0,140,500,1500,0,
330,Paddock 330,1,0,140,500,1500,0,
331,Paddock 331,1,0,140,500,1500,0,
332,Paddock 332,1,0,140,500,1500,0,
333,Paddock 333,1,0,140,500,1500,0,
334,Paddock 334,1,0,140,500,1500,0,
335,Paddock 335,1,0,140,500,1500,0,
336,Paddock 336,1,0,140,500,1500,0,
337,Paddock 337,1,0,140,500,1500,0,
338,Paddock 338,1,0,140,500,1500,0,
339,Paddock 339,1,0,140,500,1500,0,
340,Paddock 340,1,0,140,500,1500,0,
341,Paddock 341,1,0,140,500,1500,0,
342,Paddock 342,1,0,140,500,1500,0,
343,Paddock 343,1,0,140,500,1500,0,
344,Paddock 344,1,0,140,500,1500,0,
345,Paddock 345,1,0,140,500,1500,0,
346,Paddock 346,1,0,140,500,1500,0,
347,Paddock 347,1,0,140,500,1500,0,
348,Paddock 348,1,0,140,500,1500,0,
349,Paddock 349,1,0,140,500,1500,0,
350,Paddock 350,1,0,140,500,1500,0,
351,Paddock 351,1,0,140,500,1500,0,
352,Paddock 352,1,0,140,500,1500,0,
353,Paddock 353,1,0,140,500,1500,0,
354,Paddock 354,1,0,140,500,1500,0,
355,Paddock 355,1,0,140,500,1500,0,
356,Paddock 356,1,0,140,500,1500,0,
357,Paddock 357,1,0,140,500,1500,0,
358,Paddock 358,1,0,140,500,1500,0,
359,Paddock 359,1,0,140,500,1500,0,
360,Paddock 360,1,0,140,500,1500,0,
361,Paddock 361,1,0,140,500,1500,0,
362,Paddock 362,1,0,140,500,1500,0,
363,Paddock 363,1,0,140,500,1500,0,
364,Paddock 364,1,0,140,500,1500,0,
365,Paddock 365,1,0,140,500,1500,0,
366,Paddock 366,1,0,140,500,1500,0,
367,Paddock 367,1,0,140,500,1500,0,
368,Paddock 368,1,0,140,500,1500,0,
369,Paddock 369,1,0,140,500,1500,0,
370,Paddock 370,1,0,140,500,1500,0,
371,Paddock 371,1,0,140,500,1500,0,
372,Paddock 372,1,0,140,500,1500,0,
373,Paddock 373,1,0,140,500,1500,0,
374,Paddock 374,1,0,140,500,1500,0,
375,Paddock 375,1,0,140,500,1500,0,
376,Paddock 376,1,0,140,500,1500,0,
377,Paddock 377,1,0,140,500,1500,0,
378,Paddock 378,1,0,140,500,1500,0,
379,Paddock 379,1,0,140,500,1500,0,
380,Paddock 380,1,0,140,500,1500,0,
381,Paddock 381,1,0,140,500,1500,0,
382,Paddock 382,1,0,140,500,1500,0,
383,Paddock 383,1,0,140,500,1500,0,
384,Paddock 384,1,0,140,500,1500,0,
385,Paddock 385,1,0,140,500,1500,0,
386,Paddock 386,1,0,140,500,1500,0,
387,Paddock 387,1,0,140,500,1500,0,
388,Paddock 388,1,0,140,500,1500,0,
389,Paddock 389,1,0,140,500,1500,0,
390,Paddock 390,1,0,140,500,1500,0,
391,Paddock 391,1,0,140,500,1500,0,
392,Paddock 392,1,0,140,500,1500,0,
393,Paddock 393,1,0,140,500,1500,0,
394,Paddock 394,1,0,140,500,1500,0,
395,Paddock 395,1,0,140,500,1500,0,
396,Paddock 396,1,0,140,500,1500,0,
397,Paddock 397,1,0,140,500,1500,0,
398,Paddock 398,1,0,140,500,1500,0,
399,Paddock 399,1,0,140,500,1500,0,
400,Paddock 400,1,0,140,500,1500,0,
401,Paddock 401,1,0,140,500,1500,0,
402,Paddock 402,1,0,140,500,1500,0,
403,Paddock 403,1,0,140,500,1500,0,
404,Paddock 404,1,0,140,500,1500,0,
405,Paddock 405,1,0,140,500,1500,0,
406,Paddock 406,1,0,140,500,1500,0,
407,Paddock 407,1,0,140,500,1500,0,
408,Paddock 408,1,0,140,500,1500,0,
409,Paddock 409,1,0,140,500,1500,0,
410,Paddock 410,1,0,140,500,1500,0,
411,Paddock 411,1,0,140,500,1500,0,
412,Paddock 412,1,0,140,500,1500,0,
413,Paddock 413,1,0,140,500,1500,0,
414,Paddock 414,1,0,140,500,1500,0,
415,Paddock 415,1,0,140,500,1500,0,
416,Paddock 416,1,0,140,500,1500,0,
417,Paddock 417,1,0,140,500,1500,0,
418,Paddock 418,1,0,140,500,1500,0,
419,Paddock 419,1,0,140,500,1500,0,
420,Paddock 420,1,0,140,500,1500,0,
421,Paddock 421,1,0,140,500,1500,0,
422,Paddock 422,1,0,140,500,1500,0,
423,Paddock 423,1,0,140,500,1500,0,
424,Paddock 424,1,0,140,500,1500,0,
425,Paddock 425,1,0,140,500,1500,0,
426,Paddock 426,1,0,140,500,1500,0,
427,Paddock 427,1,0,140,500,1500,0,
428,Paddock 428,1,0,140,500,1500,0,
429,Paddock 429,1,0,140,500,1500,0,
430,Paddock 430,1,0,140,500,1500,0,
431,Paddock 431,1,0,140,500,1500,0,
432,Paddock 432,1,0,140,500,1500,0,
433,Paddock 433,1,0,140,500,1500,0,
434,Paddock 434,1,0,140,500,1500,0,
435,Paddock 435,1,0,140,500,1500,0,
436,Paddock 436,1,0,140,500,1500,0,
437,Paddock 437,1,0,140,500,1500,0,
438,Paddock 438,1,0,140,500,1500,0,
439,Paddock 439,1,0,140,500,1500,0,
440,Paddock 440,1,0,140,500,1500,0,
441,Paddock 441,1,0,140,500,1500,0,
442,Paddock 442,1,0,140,500,1500,0,
443,Paddock 443,1,0,140,500,1500,0,
444,Paddock 444,1,0,140,500,1500,0,
445,Paddock 445,1,0,140,500,1500,0,
446,Paddock 446,1,0,140,500,1500,0,
447,Paddock 447,1,0,140,500,1500,0,
448,Paddock 448,1,0,140,500,1500,0,
449,Paddock 449,1,0,140,500,1500,0,
450,Paddock 450,1,0,140,500,1500,0,
451,Paddock 451,1,0,140,500,1500,0,
452,Paddock 452,1,0,140,500,1500,0,
453,Paddock 453,1,0,140,500,1500,0,
454,Paddock 454,1,0,140,500,1500,0,
455,Paddock 455,1,0,140,500,1500,0,
456,Paddock 456,1,0,140,500,1500,0,
457,Paddock 457,1,0,140,500,1500,0,
458,Paddock 458,1,0,140,500,1500,0,
459,Paddock 459,1,0,140,500,1500,0,
460,Paddock 460,1,0,140,500,1500,0,
461,Paddock 461,1,0,140,500,1500,0,
462,Paddock 462,1,0,140,500,1500,0,
463,Paddock 463,1,0,140,500,1500,0,
464,Paddock 464,1,0,140,500,1500,0,
465,Paddock 465,1,0,140,500,1500,0,
466,Paddock 466,1,0,140,500,1500,0,
467,Paddock 467,1,0,140,500,1500,0,
468,Paddock 468,1,0,140,500,1500,0,
469,Paddock 469,1,0,140,500,1500,0,
470,Paddock 470,1,0,140,500,1500,0,
471,Paddock 471,1,0,140,500,1500,0,
472,Paddock 472,1,0,140,500,1500,0,
473,Paddock 473,1,0,140,500,1500,0,
474,Paddock 474,1,0,140,500,1500,0,
475,Paddock 475,1,0,140,500,1500,0,
476,Paddock 476,1,0,140,500,1500,0,
477,Paddock 477,1,0,140,500,1500,0,
478,Paddock 478,1,0,140,500,1500,0,
479,Paddock 479,1,0,140,500,1500,0,
480,Paddock 480,1,0,140,500,1500,0,
481,Paddock 481,1,0,140,500,1500,0,
482,Paddock 482,1,0,140,500,1500,0,
483,Paddock 483,1,0,140,500,1500,0,
484,Paddock 484,1,0,140,500,1500,0,
485,Paddock 485,1,0,140,500,1500,0,
486,Paddock 486,1,0,140,500,1500,0,
487,Paddock 487,1,0,140,500,1500,0,
488,Paddock 488,1,0,140,500,1500,0,
489,Paddock 489,1,0,140,500,1500,0,
490,Paddock 490,1,0,140,500,1500,0,
491,Paddock 491,1,0,140,500,1500,0,
492,Paddock 492,1,0,140,500,1500,0,
493,Paddock 493,1,0,140,500,1500,0,
494,Paddock 494,1,0,140,500,1500,0,
495,Paddock 495,1,0,140,500,1500,0,
496,Paddock 496,1,0,140,500,1500,0,
497,Paddock 497,1,0,140,500,1500,0,
498,Paddock 498,1,0,140,500,1500,0,
499,Paddock 499,1,0,140,500,1500,0,
500,Paddock 500,1,0,140,500,1500,0,
